date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2015-01-01,5,-1,0.0,8.7,2,71,03:27 PM,04:52 AM,08:24 AM,05:57 PM,-9,-2,2,-2,29,15,46,0.0,1023,5,10,243,17,20637
2015-01-02,8,2,0.0,8.7,3,78,04:13 PM,05:51 AM,08:25 AM,05:58 PM,-2,2,4,2,14,12,65,0.0,1026,8,10,273,8,20637
2015-01-03,8,3,0.0,3.5,2,85,05:04 PM,06:45 AM,08:25 AM,05:58 PM,2,2,5,2,16,71,82,1.5,1029,8,8,102,10,20637
2015-01-04,16,7,0.0,5.2,3,92,05:57 PM,07:36 AM,08:25 AM,05:59 PM,11,10,12,10,38,70,92,3.5,1014,16,10,226,21,20637
2015-01-05,5,-1,0.0,9.8,2,99,06:51 PM,08:21 AM,08:25 AM,06:00 PM,-5,-2,3,-2,34,11,57,0.0,1026,5,10,306,24,20637
2015-01-06,3,-3,1.6,8.2,1,95,07:47 PM,09:02 AM,08:25 AM,06:01 PM,-8,-5,-1,-5,15,52,62,1.9,1024,3,8,219,10,20637
2015-01-07,-3,-8,0.0,9.8,1,88,08:43 PM,09:39 AM,08:25 AM,06:02 PM,-10,-12,-4,-12,35,42,65,0.0,1022,-3,10,307,28,20637
2015-01-08,-6,-11,0.0,9.8,2,81,09:38 PM,10:12 AM,08:25 AM,06:03 PM,-18,-16,-8,-16,26,12,47,0.1,1032,-6,10,266,21,20637
2015-01-09,3,-4,0.0,9.8,1,74,10:33 PM,10:43 AM,08:24 AM,06:04 PM,-11,-7,-1,-7,31,33,48,0.0,1022,3,9,263,22,20637
2015-01-10,-3,-8,0.0,9.8,2,68,11:28 PM,11:13 AM,08:24 AM,06:05 PM,-14,-11,-5,-11,22,1,49,0.0,1034,-3,10,280,17,20637
2015-01-11,4,-4,0.0,9.8,2,61,No moonrise,11:43 AM,08:24 AM,06:06 PM,-7,-4,-0,-4,19,26,60,0.0,1036,4,10,184,12,20637
2015-01-12,4,1,0.0,4.9,1,54,12:23 AM,12:13 PM,08:24 AM,06:07 PM,0,-1,3,-1,16,95,86,21.4,1026,4,7,204,10,20637
2015-01-13,-0,-3,0.1,9.8,1,47,01:20 AM,12:45 PM,08:24 AM,06:08 PM,-4,-6,-1,-6,28,27,75,2.8,1032,-0,9,105,20,20637
2015-01-14,-0,-4,1.3,4.9,1,41,02:17 AM,01:20 PM,08:23 AM,06:09 PM,-4,-7,-2,-7,21,92,83,2.9,1027,-0,8,142,16,20637
2015-01-15,1,-3,0.0,9.9,2,34,03:16 AM,01:59 PM,08:23 AM,06:10 PM,-4,-4,-1,-4,16,20,81,0.0,1021,1,10,240,9,20637
2015-01-16,6,-1,0.0,9.9,2,27,04:16 AM,02:44 PM,08:23 AM,06:11 PM,-2,-2,2,-2,24,13,75,0.0,1018,6,10,282,14,20637
2015-01-17,1,-2,0.0,9.9,1,20,05:16 AM,03:36 PM,08:22 AM,06:12 PM,-8,-5,-0,-5,24,29,59,0.0,1027,1,10,107,16,20637
